item_id,owner_id,category,model_name,daily_price,created_at,status
1,114,Cameras,Fujifilm X-T4,98.34,2025-11-19 13:32:10,inactive
2,189,Cameras,Sony A7 IV,44.8,2025-08-29 07:53:24,active
3,159,Lenses,Canon RF 24-70mm,100.93,2025-05-19 00:16:38,active
4,173,Lenses,Canon RF 24-70mm,99.69,2025-11-20 15:25:14,active
5,12,Cameras,Fujifilm X-T4,79.18,2026-01-22 14:15:22,active
6,117,Lighting,Nanlite Forza 60,75.45,2024-12-20 22:29:27,active
7,99,Lighting,Aputure 120d II,40.62,2025-09-09 15:30:23,active
8,2,Drones,Autel Evo Lite,37.98,2024-06-22 00:17:54,active
9,179,Lighting,Godox SL-60W,73.53,2025-08-19 02:35:34,inactive
10,32,Lighting,Godox SL-60W,99.15,2025-11-09 23:55:49,active
11,144,Lenses,Sony FE 50mm f/1.2,79.33,2025-06-04 13:33:51,active
12,130,Lighting,Nanlite Forza 60,61.82,2026-04-20 17:44:54,active
13,122,Lighting,Aputure 120d II,93.94,2024-10-22 04:43:26,active
14,71,Lighting,Nanlite Forza 60,40.12,2025-11-12 04:08:47,active
15,183,Lenses,Canon RF 24-70mm,43.53,2026-02-11 23:17:37,active
16,139,Drones,DJI Mini 3 Pro,30.84,2026-01-11 20:08:38,active
17,40,Cameras,Sony A7 IV,58.56,2025-07-30 10:41:23,active
18,120,Lighting,Godox SL-60W,36.72,2025-05-28 05:23:07,active
19,198,Drones,Autel Evo Lite,65.08,2025-12-10 07:04:06,inactive
20,77,Lighting,Aputure 120d II,71.51,2025-04-21 22:55:30,active
21,155,Cameras,Fujifilm X-T4,38.04,2026-04-15 12:40:30,active
22,8,Lighting,Aputure 120d II,85.23,2026-02-25 05:21:28,active
23,186,Cameras,Fujifilm X-T4,111.55,2025-12-21 23:10:15,inactive
24,137,Drones,Autel Evo Lite,77.15,2024-07-28 15:17:03,active
25,22,Lighting,Godox SL-60W,106.02,2025-11-13 19:48:49,active
26,67,Lighting,Aputure 120d II,37.22,2025-06-10 01:01:25,active
27,195,Lighting,Aputure 120d II,93.96,2026-02-10 12:23:33,active
28,65,Drones,Autel Evo Lite,17.04,2024-07-09 20:39:27,active
29,90,Cameras,Sony A7 IV,97.03,2024-09-10 08:53:15,active
30,194,Drones,DJI Mini 3 Pro,35.93,2025-03-29 16:16:19,active
31,40,Cameras,Canon EOS R5,64.72,2025-10-22 19:11:48,active
32,56,Lighting,Nanlite Forza 60,41.91,2025-10-04 09:03:19,active
33,156,Drones,DJI Mini 3 Pro,116.3,2025-01-25 06:15:15,active
34,7,Lenses,Sigma 35mm Art,86.12,2025-02-05 00:46:02,inactive
35,102,Cameras,Sony A7 IV,77.17,2025-11-02 14:50:03,active
36,63,Drones,DJI Air 2S,104.28,2025-01-01 20:24:31,active
37,31,Drones,DJI Air 2S,70.94,2025-02-09 10:02:21,active
38,18,Lenses,Canon RF 24-70mm,104.21,2025-12-09 02:06:11,active
39,28,Lighting,Aputure 120d II,81.74,2026-02-21 19:25:33,active
40,182,Cameras,Fujifilm X-T4,33.49,2026-02-24 18:01:04,active
41,167,Lenses,Sigma 35mm Art,99.86,2024-08-22 17:40:51,active
42,124,Lighting,Aputure 120d II,101.7,2026-04-23 23:18:24,active
43,83,Cameras,Sony A7 IV,44.29,2025-09-21 12:38:57,active
44,193,Lighting,Nanlite Forza 60,79.08,2025-05-19 20:04:51,active
45,8,Lighting,Aputure 120d II,34.09,2024-10-08 04:05:55,active
46,67,Lenses,Sony FE 50mm f/1.2,107.43,2026-02-25 16:57:49,active
47,71,Drones,DJI Mini 3 Pro,23.99,2026-03-29 12:38:17,active
48,126,Cameras,Fujifilm X-T4,82.82,2026-05-02 16:24:14,active
49,5,Drones,DJI Air 2S,38.27,2024-12-28 07:46:09,active
50,79,Lenses,Sony FE 50mm f/1.2,73.11,2025-08-29 18:13:11,active
51,191,Lenses,Sony FE 50mm f/1.2,88.8,2025-06-25 13:41:02,active
52,65,Cameras,Sony A7 IV,90.73,2026-05-03 08:54:55,active
53,191,Cameras,Canon EOS R5,37.72,2025-08-25 20:51:42,active
54,186,Lenses,Canon RF 24-70mm,102.43,2025-09-29 16:31:29,active
55,93,Cameras,Blackmagic Pocket 6K,16.49,2025-04-12 20:24:56,active
56,71,Drones,DJI Mavic 3,73.1,2025-08-28 14:27:36,active
57,33,Lighting,Godox SL-60W,106.64,2026-02-05 15:06:29,active
58,121,Lighting,Aputure 120d II,50.77,2025-08-08 16:04:53,inactive
59,65,Lighting,Godox SL-60W,101.32,2025-04-30 15:20:24,active
